session_id,station_id,city,timestamp,duration_min,energy_kwh,vehicle_type,connector_type,payment_method,temperature_c,is_weekend,session_cost_usd,battery_start_pct,battery_end_pct,user_rating
1,ST-018,Raleigh,2025-01-18 08:19:06,407.2,80.0,Other,CCS,RFID Card,-1.8,True,20.43,42.9,100.0,3.5
2,ST-006,Raleigh,2024-03-31 14:02:36,60.9,9.68,Rivian R1T,J1772,Credit Card,,True,2.58,17.4,30.3,3.5
3,ST-022,Seattle,2024-12-30 15:29:43,49.2,11.6,Hyundai Ioniq 5,J1772,,-0.5,False,3.42,66.0,81.5,4.5
4,ST-014,Austin,2024-09-02 03:19:37,14.0,2.2,Chevy Bolt,CCS,RFID Card,11.2,False,0.46,39.3,42.2,5.0
5,ST-009,Denver,2024-12-20 17:19:03,78.7,19.65,Ford Mustang Mach-E,CCS,App,2.0,False,4.7,76.4,100.0,4.5
6,ST-016,Seattle,2024-12-13 23:24:27,40.5,9.6,Other,CCS,Credit Card,-7.5,False,3.0,23.7,36.5,4.5
7,ST-013,Portland,2024-09-08 04:17:04,6.7,2.0,Ford Mustang Mach-E,CCS,RFID Card,18.5,True,0.61,47.0,49.7,4.5
8,ST-021,Denver,2025-04-14 22:51:45,12.8,2.0,Tesla Model Y,Tesla Supercharger,App,28.2,False,0.57,59.1,61.8,4.0
9,ST-023,Nashville,2024-01-19 22:36:59,24.5,4.57,Chevy Bolt,CHAdeMO,Free/Promotional,1.4,False,1.01,84.5,90.6,2.5
10,ST-015,Denver,2024-10-09 07:01:24,17.4,3.02,Tesla Model 3,Tesla Supercharger,Free/Promotional,10.9,False,0.82,30.5,34.5,4.0
11,ST-024,Raleigh,2024-01-14 16:55:39,22.3,5.1,Tesla Model Y,CCS,App,8.5,True,1.31,39.8,46.6,5.0
12,ST-017,Nashville,2024-10-04 13:42:51,13.2,2.0,Other,CCS,Credit Card,12.9,False,0.43,35.5,38.2,
13,ST-013,Portland,2025-02-07 03:01:04,41.0,10.66,BMW iX,J1772,App,0.8,False,2.99,61.0,75.2,
14,ST-022,Seattle,2024-06-07 17:23:25,30.3,6.41,Tesla Model Y,Tesla Supercharger,App,33.5,False,1.89,11.1,19.6,
15,ST-006,Raleigh,2024-04-06 12:25:49,21.9,4.5,Chevy Bolt,CHAdeMO,Credit Card,,True,1.1,32.8,38.8,3.5
16,ST-019,Portland,2024-03-16 05:38:47,21.7,5.5,Rivian R1T,CCS,Free/Promotional,17.2,True,1.64,55.0,62.3,3.5
17,ST-001,Portland,2024-07-22 06:06:56,19.5,4.42,Chevy Bolt,J1772,App,27.4,False,1.22,80.6,86.5,4.5
18,ST-023,Nashville,2024-02-06 22:23:31,20.2,4.17,Tesla Model 3,J1772,App,5.7,False,1.02,23.2,28.8,
19,ST-025,Portland,2025-02-01 22:20:14,66.8,10.76,Rivian R1T,CHAdeMO,Credit Card,5.3,True,2.89,17.0,31.3,4.5
20,ST-002,Austin,2025-02-20 13:04:52,22.5,4.65,Tesla Model Y,Tesla Supercharger,App,4.9,False,1.1,61.9,68.1,4.5
21,ST-004,Seattle,2024-06-29 10:02:07,22.1,4.56,Tesla Model 3,J1772,Free/Promotional,30.5,True,1.26,31.4,37.5,4.5
22,ST-020,Austin,2024-12-28 17:09:52,43.3,9.08,Tesla Model 3,Tesla Supercharger,Credit Card,0.2,True,1.83,66.1,78.2,3.5
23,ST-009,Denver,2024-12-11 13:45:09,63.8,16.24,Other,CCS,Credit Card,-4.4,False,4.62,78.4,100.0,1.0
24,ST-003,Denver,2024-10-18 12:46:56,39.3,6.04,Rivian R1T,J1772,App,9.1,False,1.72,73.7,81.8,4.5
25,ST-020,Austin,2025-05-01 08:56:41,93.8,15.11,Nissan Leaf,CHAdeMO,,27.4,False,3.21,21.8,41.9,3.5
26,ST-023,Nashville,2024-01-28 14:00:36,33.7,7.14,Tesla Model 3,Tesla Supercharger,RFID Card,1.5,True,1.81,56.7,66.2,
27,ST-009,Denver,2024-10-24 07:15:33,28.4,4.2,Tesla Model 3,Tesla Supercharger,App,10.0,False,1.2,42.0,47.6,4.5
28,ST-018,Raleigh,2024-09-13 12:16:15,25.2,4.51,Tesla Model 3,Tesla Supercharger,RFID Card,17.5,False,1.15,47.9,53.9,2.5
29,ST-019,Portland,2024-08-06 10:24:18,18.2,73.71,Tesla Model Y,Tesla Supercharger,App,21.3,False,19.45,62.3,100.0,3.5
30,ST-003,Denver,2024-01-08 14:14:27,45.4,11.75,Chevy Bolt,Tesla Supercharger,App,4.8,False,3.12,56.3,72.0,3.0
31,ST-002,Austin,2024-06-19 15:54:59,23.6,3.28,Hyundai Ioniq 5,J1772,App,25.9,False,0.65,30.7,35.1,4.5
32,ST-008,Austin,2024-12-23 09:30:18,11.1,2.63,Tesla Model Y,Tesla Supercharger,App,-5.5,False,0.6,55.9,59.4,3.5
33,ST-007,Portland,2024-06-04 10:58:19,74.7,9.98,Ford Mustang Mach-E,CCS,RFID Card,27.1,False,2.97,39.5,52.8,5.0
34,ST-025,Portland,2024-11-29 04:25:13,44.1,10.43,BMW iX,CCS,Free/Promotional,-3.4,False,2.92,41.2,55.1,3.5
35,ST-017,Nashville,2025-04-29 01:27:01,58.6,12.18,Chevy Bolt,CCS,Credit Card,25.0,False,3.07,5.0,21.2,3.0
36,ST-022,Seattle,2024-05-05 09:24:45,18.3,3.33,Tesla Model Y,Tesla Supercharger,Free/Promotional,28.8,True,1.07,34.0,38.4,3.0
37,ST-002,Austin,2025-03-15 01:14:52,139.4,25.17,Chevy Bolt,CCS,RFID Card,18.8,True,5.27,84.4,100.0,4.5
38,ST-012,Raleigh,2025-01-23 03:19:47,37.0,6.06,Nissan Leaf,CCS,RFID Card,6.6,False,1.63,79.6,87.7,3.5
39,ST-012,Raleigh,2024-11-24 13:39:23,93.5,21.54,Rivian R1T,Tesla Supercharger,App,,True,4.92,49.4,78.1,4.5
40,ST-007,Portland,2024-03-10 20:53:48,25.6,4.52,Tesla Model Y,Tesla Supercharger,RFID Card,12.2,True,1.21,38.7,44.7,
41,ST-025,Portland,2024-02-05 18:42:38,19.2,3.81,Tesla Model Y,Tesla Supercharger,RFID Card,4.4,False,1.16,69.3,74.4,2.5
42,ST-020,Austin,2025-06-09 21:36:51,23.9,4.35,BMW iX,CHAdeMO,RFID Card,22.8,False,0.9,69.4,75.2,4.5
43,ST-004,Seattle,2024-03-10 07:01:41,31.6,5.93,Chevy Bolt,J1772,App,,True,1.8,33.4,41.3,3.0
